Precinct,Phone,Address,Latitude,Longitude
1st Precinct,212-334-0611,16 Ericsson Place,40.7202702,-74.0071976
5th Precinct,212-334-0711,19 Elizabeth Street,40.7161942,-73.9974699
6th Precinct,212-741-4811,233 West 10 Street,40.7342332,-74.00545319999999
7th Precinct,212-477-7311,19 1/2 Pitt Street,40.7163708,-73.9840589
9th Precinct,212-477-7811,321 East 5 Street,40.7265591,-73.9878238
10th Precinct,212-741-8211,230 West 20th Street,40.7427116,-73.998643
13th Precinct,212-477-7411,230 East 21st Street,40.7367881,-73.9829079
Midtown South Precinct,212-239-9811,357 West 35th Street,40.7538954,-73.9948952
17th Precinct,212-826-3211,167 East 51st Street,40.7567621,-73.9707858
Midtown North Precinct,212-767-8400,306 West 54th Street,40.7649517,-73.9851379
19th Precinct,212-452-0600,153 East 67th Street,40.7671478,-73.9637748
20th Precinct,212-580-6411,120 West 82nd Street,40.7840901,-73.97496799999999
Central Park Precinct,212-570-4820,86th St & Transverse Road,40.7838188,-73.9655685
23rd Precinct,212-860-6411,164 East 102nd Street,40.7890835,-73.9470604
24th Precinct,212-678-1811,151 West 100th Street,40.796506,-73.9673459
25th Precinct,212-860-6511,120 East 119th Street,40.8006969,-73.9411026
26th Precinct,212-678-1311,520 West 126th Street,40.8147516,-73.95639
28th Precinct,212-678-1611,2271-89 8th Avenue,40.80885019999999,-73.9525697
30th Precinct,212-690-8811,451 West 151st Street,40.8287571,-73.9436513
32nd Precinct,212-690-6311,250 West 135th Street,40.81573059999999,-73.9453589
33rd Precinct,212-927-3200,2207 Amsterdam Avenue,40.840689,-73.9357066
34th Precinct,212-927-9711,4295 Broadway,40.8515464,-73.93538509999999
40th Precinct,718-402-2270,257 Alexander Avenue,40.8104234,-73.9252126
41st Precinct,718-542-4771,1035 Longwood Avenue,40.8162239,-73.8956218
42nd Precinct,718-402-3887,830 Washington Avenue,40.8224323,-73.9112583
43rd Precinct,718-542-0888,900 Fteley Avenue,40.8230714,-73.86979389999999
44th Precinct,718-590-5511,2 East 169th Street,40.8375397,-73.9195776
45th Precinct,718-822-5411,2877 Barkley Avenue,40.8308706,-73.8273359
46th Precinct,718-220-5211,2120 Ryer Avenue,40.8539879,-73.9001119
47th Precinct,718-920-1211,4111 Laconia Avenue,40.8875602,-73.8475441
48th Precinct,718-299-3900,450 Cross Bronx Expressway,40.8439231,-73.9004465
49th Precinct,718-918-2000,2121 Eastchester Road,40.8560598,-73.8444173
50th Precinct,718-543-5700,3450 Kingsbridge Avenue,40.8835686,-73.90231659999999
52nd Precinct,718-220-5811,3016 Webster Avenue,40.8690962,-73.8796672
60th Precinct,718-946-3311,2951 West 8th Street,40.576552,-73.9761158
61st Precinct,718-627-6611,2575 Coney Island Avenue,40.5941521,-73.9605042
62nd Precinct,718-236-2611,1925 Bath Avenue,40.6025018,-74.0031348
63rd Precinct,718-258-4411,1844 Brooklyn Avenue,40.627926,-73.941616
66th Precinct,718-851-5611,5822 16th Avenue,40.625713,-73.9913819
67th Precinct,718-287-3211,2820 Snyder Avenue,40.6486648,-73.9502641
68th Precinct,718-439-4211,333 65th Street,40.7639625,-73.9601307
69th Precinct,718-257-6211,9720 Foster Avenue,40.64847899999999,-73.90498070000001
70th Precinct,718-851-5511,154 Lawrence Avenue,40.6303373,-73.9737354
71st Precinct,718-735-0511,421 Empire Boulevard,40.6645922,-73.9478302
